PlayerName,Salary,Age,Team,Games,Rebounds,Assists,Steals,Blocks,Turnovers,Points
Joel Anthony,3800000,32,DET,49,93,5,12,49,12,87
Joel Freeland,3013512,27,POR,48,191,16,9,23,23,169
Joey Dorsey,948163,31,HOU,69,279,25,40,25,41,184
Joffrey Lauvergne,1790281,23,DEN,24,77,13,8,10,22,93
John Henson,1987320,24,MIL,67,312,59,28,135,87,470
John Jenkins,1312920,23,ATL,24,39,13,10,0,8,135
John Lucas III,336966,32,DET,21,16,60,8,0,16,98
John Salmons,1000000,35,NOP,21,21,13,9,4,5,42
John Wall,14746000,24,WAS,79,366,792,138,45,304,1387
Johnny O'Bryant,600000,21,MIL,34,64,17,5,4,25,100
Jon Leuer,967500,25,MEM,63,207,46,17,9,35,286
Jonas Jerebko,4500000,27,TOT,75,282,71,46,18,44,448
Jonas Valanciunas,3678360,22,TOR,80,693,39,33,95,109,963
Jordan Adams,1344120,20,MEM,30,28,16,16,7,14,94
Jordan Clarkson,507336,22,LAL,59,191,206,51,12,96,703
Jordan Farmar,2077000,28,LAC,36,42,67,20,5,32,167
Jordan Hamilton,150591,24,LAC,14,16,7,2,0,4,38
Jordan Hill,9000000,27,LAL,70,556,103,34,52,106,841
Jorge Gutierrez,48028,26,TOT,20,25,22,6,0,12,53
Jose Calderon,7097191,33,NYK,42,124,198,31,0,75,382
Josh McRoberts,5305000,27,MIA,17,45,33,12,3,22,72
Josh Smith,14000000,29,TOT,83,530,277,87,116,206,1027
Jrue Holiday,9904495,24,NOP,40,135,274,63,23,91,592
Julius Randle,2997360,20,LAL,1,0,0,0,0,1,2
Justin Hamilton,816482,24,TOT,41,134,36,27,30,26,219
Justin Holiday,816482,25,GSW,59,73,48,40,12,29,254
Jusuf Nurkic,1762680,20,DEN,62,382,50,52,68,86,426
K.J. McDaniels,507336,21,TOT,62,200,72,44,70,105,487
Kalin Lucas,507336,25,MEM,1,0,0,1,0,0,0
Kawhi Leonard,2894059,23,SAS,64,461,161,148,48,97,1057
Kelly Olynyk,2075760,23,BOS,64,303,109,64,39,98,656
Kemba Walker,3272091,24,CHO,62,220,318,89,31,100,1075
Kendall Marshall,915243,23,MIL,28,28,86,21,0,35,118
Kendrick Perkins,9154342,30,TOT,68,320,51,16,42,95,246
Kenneth Faried,2249768,25,DEN,75,668,89,62,57,118,946
Kent Bazemore,2000000,25,ATL,75,222,78,52,33,73,390
Kentavious Caldwell-Pope,2772480,21,DET,82,255,109,93,18,94,1043
Kenyon Martin,414551,37,MIL,11,19,5,5,6,3,20
Kevin Durant,18995624,26,OKC,27,178,110,24,25,74,686
Kevin Garnett,12000000,38,TOT,47,311,77,46,17,46,323
Kevin Love,15719063,26,CLE,75,731,168,51,39,122,1228
Kevin Martin,6792500,31,MIN,39,142,89,33,1,76,779
Kevin Seraphin,3898692,25,WAS,79,288,59,10,59,98,520
Khris Middleton,915243,23,MIL,79,347,182,122,11,113,1055
Kirk Hinrich,2732000,34,CHI,66,121,148,46,14,73,377
Klay Thompson,3075880,24,GSW,77,247,222,87,60,149,1668
Kobe Bryant,23500000,36,LAL,35,199,197,47,7,128,782
Kosta Koufos,3000000,25,MEM,81,426,37,29,63,69,419
Kostas Papanikolaou,4900963,24,HOU,43,118,85,29,13,55,182
Kris Humphries,4300000,29,WAS,64,416,57,34,25,46,509
Kyle Anderson,1093680,21,SAS,33,72,28,15,7,10,74
Kyle Korver,6253521,33,ATL,75,304,196,52,42,107,911
Kyle Lowry,12000000,28,TOR,70,328,473,109,13,173,1244
Kyle O'Quinn,915243,24,ORL,51,199,59,31,39,55,294
Kyle Singler,1090000,26,TOT,80,194,85,47,21,55,480
Kyrie Irving,7070730,22,CLE,75,237,389,114,20,186,1628
LaMarcus Aldridge,16256000,29,POR,71,726,124,48,68,122,1661
Lance Stephenson,9000000,24,CHO,61,277,240,38,8,128,501
Lance Thomas,948163,26,TOT,62,195,69,37,8,74,443
Landry Fields,6250000,26,TOR,26,26,15,11,0,8,46
Langston Galloway,235762,23,NYK,45,190,150,52,12,61,533
Larry Drew,507336,24,PHI,12,15,45,6,0,25,46
Larry Sanders,11000000,26,MIL,27,166,23,26,39,28,196
Lavoy Allen,948163,25,IND,63,323,73,15,42,40,315
LeBron James,20644400,30,CLE,69,416,511,109,49,272,1743
Leandro Barbosa,1448490,32,GSW,66,91,99,41,8,44,467
Lester Hudson,57726,30,LAC,5,8,5,6,1,3,18
Lorenzo Brown,268959,24,MIN,29,70,90,28,6,30,122
Lou Amundson,1310286,32,TOT,53,268,70,22,52,62,259
Lou Williams,5450000,28,TOR,80,151,164,88,10,101,1242
Luc Mbah a Moute,4382576,28,PHI,67,328,106,81,21,99,660
Lucas Nogueira,1762680,22,TOR,6,11,1,2,0,2,6
Luigi Datome,1750000,27,TOT,21,29,9,2,7,9,105
Luis Scola,6541000,34,IND,81,526,105,47,18,94,763
Luke Babbitt,981084,25,NOP,63,111,24,17,11,26,256
Luke Ridnour,2750000,33,ORL,47,68,96,20,4,38,188
Luol Deng,9714461,29,MIA,72,376,139,65,22,108,1007
Malcolm Lee,915243,24,PHI,1,0,0,0,0,0,0
Malcolm Thomas,635827,26,PHI,17,56,7,3,1,13,45
Manu Ginobili,7000000,37,SAS,70,211,293,67,20,154,738
Marc Gasol,15829688,30,MEM,81,630,307,70,131,176,1413
Marcin Gortat,10434782,30,WAS,82,717,97,49,110,100,1001
Marco Belinelli,2873750,28,SAS,62,157,94,31,3,61,568
Marcus Morris,2943221,25,PHO,81,385,133,63,16,73,845
Marcus Smart,3283320,20,BOS,67,222,208,99,18,90,523
Marcus Thornton,8575000,27,TOT,48,86,36,27,7,27,380
Mario Chalmers,4000000,28,MIA,80,206,307,122,10,173,813
Markel Brown,507336,23,BRK,47,107,39,31,12,27,216
Markieff Morris,2989239,25,PHO,82,506,192,101,39,170,1258
Marreese Speights,3657500,27,GSW,76,325,72,20,34,82,791
Martell Webster,5381750,28,WAS,32,46,17,7,1,22,106
Marvin Williams,7000000,28,CHO,78,386,100,69,36,60,577
Mason Plumlee,1357080,24,BRK,82,512,74,65,63,106,717
Matt Barnes,3396250,34,LAC,76,302,114,67,50,87,764
Matt Bonner,1448490,34,SAS,72,115,47,10,12,11,264
Matthew Dellavedova,816482,24,CLE,67,126,204,24,2,61,319
Maurice Harkless,1887840,21,ORL,45,106,25,32,9,27,158
Meyers Leonard,2317920,22,POR,55,250,32,10,14,39,327
Michael Beasley,777778,26,MIA,24,89,32,15,13,37,212
Michael Carter-Williams,2300040,23,TOT,66,353,442,111,30,253,966
Michael Kidd-Gilchrist,5016960,21,CHO,55,416,77,30,38,63,598
Mike Conley,8694216,27,MEM,70,209,375,89,14,156,1107
Mike Dunleavy,3326235,34,CHI,63,248,114,39,21,60,595
Mike Miller,2732000,34,CLE,52,91,46,14,4,23,109
Mike Muscala,816482,23,ATL,40,119,25,16,19,21,197
Mike Scott,3333333,26,ATL,68,199,75,25,3,39,529
Miles Plumlee,1169880,26,TOT,73,320,34,41,66,51,294
Miroslav Raduljica,300000,27,MIN,5,5,0,1,0,2,8
Mirza Teletovic,3368100,29,BRK,40,194,46,14,16,53,339
Mitch McGary,1400040,22,OKC,32,165,14,16,16,31,201
Mo Williams,3965074,32,TOT,68,174,424,46,14,172,964
Monta Ellis,8360000,29,DAL,80,190,329,148,25,198,1513
Nate Robinson,2106720,30,TOT,42,50,97,20,3,30,238
Nate Wolters,816482,23,TOT,21,34,21,8,2,13,42
Nazr Mohammed,1448490,37,CHI,23,38,3,4,5,7,27
Nene Hilario,13000000,32,WAS,67,345,123,66,22,124,737
Nerlens Noel,3315120,20,PHI,75,611,128,133,142,146,744
Nick Calathes,816482,25,MEM,58,106,146,63,5,61,243
Nick Collison,2242003,34,OKC,66,250,90,35,25,45,273
Nick Johnson,507336,22,HOU,28,39,11,7,3,19,74
Nick Young,4994420,29,LAL,42,96,41,23,11,44,563
Nicolas Batum,11765500,26,POR,71,416,341,78,40,132,664
Nik Stauskas,2745840,21,SAC,73,88,67,20,17,40,319
Nikola Mirotic,5305000,23,CHI,82,404,97,54,54,89,833
Nikola Pekovic,12100000,29,MIN,31,234,27,19,12,42,386
Nikola Vucevic,2751260,24,ORL,74,810,147,54,54,148,1428
Noah Vonleh,2524200,19,CHO,25,86,4,4,9,11,83
Norris Cole,2038206,26,TOT,75,159,255,57,15,99,573
O.J. Mayo,8000000,27,MIL,71,187,197,57,18,128,806
Ognjen Kuzmic,816482,24,GSW,16,17,6,2,1,5,20
Omer Asik,14898938,28,NOP,76,748,72,29,54,95,557
Omri Casspi,1063384,26,SAC,67,260,102,31,9,88,593
Otto Porter,4470480,21,WAS,74,221,65,44,30,52,445
P.J. Hairston,1149720,22,CHO,45,92,21,21,13,22,254
P.J. Tucker,5700000,29,PHO,78,502,122,107,23,96,713
Pablo Prigioni,1662961,37,TOT,67,119,171,79,1,62,274
Patrick Beverley,915243,26,HOU,56,237,192,59,23,83,568
Patrick Christopher,379010,26,UTA,4,6,0,1,0,1,6
Patrick Mills,3842105,26,SAS,51,75,87,28,2,35,351
Patrick Patterson,5831326,25,TOR,81,433,155,60,44,54,648
Pau Gasol,7128000,34,CHI,78,919,210,25,147,158,1446
Paul George,15925680,24,IND,6,22,6,5,1,12,53
Paul Millsap,9500000,29,ATL,73,570,223,130,69,166,1218
Paul Pierce,5305000,37,WAS,73,294,144,46,24,92,868
Pero Antic,1250000,32,ATL,63,189,49,18,14,49,356
Perry Jones,1129200,23,OKC,43,76,18,17,8,24,184
Phil Pressey,816482,23,BOS,50,80,117,30,6,41,177
Quincy Acy,915243,24,NYK,68,301,68,27,22,60,398
Quincy Miller,183049,22,TOT,10,20,8,7,5,5,29
Quincy Pondexter,3146068,26,TOT,75,195,94,19,24,51,538
Rajon Rondo,12909091,28,TOT,68,373,538,91,7,210,608
Ramon Sessions,2077000,28,TOT,64,144,182,29,0,86,402
Randy Foye,3135000,31,DEN,50,85,119,34,11,60,435
Rasual Butler,1448490,35,WAS,75,197,63,29,22,48,580
Ray McCallum,816482,23,SAC,68,180,188,45,11,85,503
Raymond Felton,3793693,30,DAL,29,26,41,11,4,18,108
Reggie Bullock,1200720,23,TOT,36,50,8,10,4,8,69
Reggie Evans,1768653,34,SAC,47,299,32,22,5,45,176
Reggie Jackson,2204370,24,TOT,77,327,462,62,9,186,1117
Reggie Williams,344036,28,SAS,20,17,10,1,0,2,37
Richard Jefferson,1448490,34,DAL,74,183,61,32,11,52,432
Ricky Ledo,816482,22,TOT,17,36,19,6,1,26,90
Ricky Rubio,5070686,24,MIN,22,125,193,38,1,64,226
Robbie Hummel,880000,25,MIN,45,134,27,16,9,18,198
Robert Covington,1000000,24,PHI,70,316,105,97,31,128,943
Robert Sacre,915243,25,LAL,67,233,55,28,43,36,307
Robin Lopez,6124729,26,POR,59,394,55,16,84,73,566
Rodney Hood,1290360,22,UTA,50,117,83,30,12,45,433
Rodney Stuckey,1227985,28,IND,71,248,219,56,10,118,896
Ronnie Price,1316809,31,LAL,43,69,165,67,4,52,221
Ronny Turiaf,1500000,32,MIN,2,1,2,0,0,0,0
Roy Hibbert,14898938,28,IND,76,540,84,18,125,107,802
Rudy Gay,19317326,28,SAC,68,399,250,71,41,183,1432
Rudy Gobert,1127400,22,UTA,82,775,109,64,189,111,686
Russ Smith,507336,23,TOT,12,6,8,3,0,12,30
Russell Westbrook,15719062,26,OKC,67,488,574,140,14,293,1886
Ryan Anderson,8491500,26,NOP,61,295,55,33,20,62,833
Ryan Hollins,1316809,30,SAC,46,103,14,6,19,25,137
Ryan Kelly,1650000,23,LAL,52,146,92,30,24,37,332
Samuel Dalembert,3867282,33,NYK,32,168,29,14,41,39,128
Sean Kilpatrick,35000,25,MIN,4,6,4,3,0,2,22
Sebastian Telfair,1316809,29,OKC,16,30,45,10,0,18,134
Serge Ibaka,12350000,25,OKC,64,499,55,30,155,97,917
Sergey Karasev,1533840,21,BRK,33,66,46,23,1,24,153
Seth Curry,100000,24,PHO,2,2,1,0,0,0,0
Shabazz Muhammad,1971960,22,MIN,38,154,44,18,7,35,512
Shabazz Napier,1238640,23,MIA,51,113,130,40,4,81,261
Shane Larkin,1606080,22,NYK,76,176,226,93,9,83,470
Shannon Brown,1310286,29,MIA,5,1,3,4,0,4,20
Shaun Livingston,5305000,29,GSW,78,183,259,49,20,102,461
Shavlik Randolph,1227985,31,TOT,21,38,4,5,3,3,24
Shawn Marion,1448490,36,CLE,57,202,51,27,27,33,276
Shawne Williams,1227985,28,TOT,63,166,44,25,21,30,341
Shayne Whittington,507336,23,IND,20,29,6,5,2,5,57
Shelvin Mack,2433333,24,ATL,55,79,155,30,2,49,299
Sim Bhullar,29843,22,SAC,3,1,1,0,1,0,2
Solomon Hill,1302840,23,IND,82,314,184,66,18,115,729
Spencer Dinwiddie,700000,21,DET,34,48,104,19,6,33,145
Spencer Hawes,5871309,26,LAC,73,258,88,24,53,61,425
Stephen Curry,10629213,26,GSW,80,341,619,163,16,249,1900
Steve Blake,2077000,34,POR,81,137,288,41,5,104,350
Steve Novak,3445947,31,TOT,35,22,11,0,2,5,63
Steven Adams,2184960,21,OKC,70,523,66,38,86,99,537
T.J. Warren,1953120,21,PHO,40,85,25,18,9,27,245
Taj Gibson,8000000,29,CHI,62,396,71,36,75,77,640
Tarik Black,507336,23,TOT,63,368,42,19,24,48,379
Tayshaun Prince,7707865,34,TOT,58,210,93,29,16,35,434
Terrence Jones,1618680,23,HOU,33,220,36,18,59,37,386
Terrence Ross,2793960,23,TOR,82,226,86,53,25,69,807
Thabo Sefolosha,4150000,30,ATL,52,223,75,53,21,38,278
Thaddeus Young,9660869,26,TOT,76,411,173,124,25,117,1071
Thomas Robinson,3678360,23,TOT,54,303,33,32,20,59,308
Tiago Splitter,9250000,30,SAS,52,252,78,35,37,60,428
Tim Duncan,10361446,38,SAS,77,704,230,63,151,131,1070
Tim Frazier,50734,24,TOT,11,28,60,8,0,25,57
Tim Hardaway,1250640,22,NYK,70,156,127,20,14,82,804
Timofey Mozgov,4650000,28,TOT,81,591,55,33,97,116,785
Tobias Harris,2380594,22,ORL,68,430,124,69,36,115,1164
Toney Douglas,143870,28,NOP,12,22,24,11,4,10,51
Tony Allen,4831461,33,MEM,63,280,86,129,30,86,539
Tony Parker,12500000,32,SAS,68,129,335,44,2,146,976
Tony Snell,1472400,23,CHI,72,176,62,32,11,48,435
Tony Wroten,1210080,21,PHI,30,86,157,48,8,113,507
Toure' Murry,1000000,25,TOT,5,1,1,1,0,4,6
Travis Wear,507336,24,NYK,51,106,40,15,11,35,199
Trevor Ariza,8579089,29,HOU,82,459,209,152,17,141,1048
Trevor Booker,5000000,27,UTA,79,397,83,43,41,88,567
Trey Burke,2548560,22,UTA,76,204,328,65,15,124,973
Tristan Thompson,5138430,23,CLE,82,657,39,34,61,83,693
Troy Daniels,816482,23,TOT,47,33,22,6,1,20,176
Ty Lawson,11595506,27,DEN,75,234,720,92,9,185,1143
Tyler Ennis,1590720,20,TOT,33,35,73,18,5,42,121
Tyler Hansbrough,3326235,29,TOR,74,265,21,30,15,20,270
Tyler Johnson,199950,22,MIA,32,81,42,33,9,30,190
Tyler Zeller,1703760,25,BOS,82,465,113,18,52,76,833
Tyreke Evans,11265416,25,NOP,79,416,521,100,37,246,1313
Tyrus Thomas,9388000,28,MEM,2,0,1,0,0,0,4
Tyson Chandler,14846887,32,DAL,75,864,84,42,91,105,771
Udonis Haslem,2732000,34,MIA,62,258,46,21,13,41,261
Vander Blue,14409,22,LAL,2,9,8,3,0,6,22
Victor Claver,1370000,26,POR,10,20,1,1,1,4,24
Victor Oladipo,4978200,22,ORL,72,302,295,120,19,204,1292
Vince Carter,3911981,38,MEM,66,133,79,43,14,43,384
Wayne Ellington,1063384,27,LAL,65,210,105,33,2,50,650
Wesley Johnson,981084,27,LAL,76,319,124,59,45,87,753
Wesley Matthews,7245640,28,POR,60,222,139,77,10,81,956
Will Barton,915243,24,TOT,58,162,81,48,19,61,397
Will Bynum,2915908,32,WAS,7,6,18,1,1,8,22
Will Cherry,507336,23,CLE,8,5,8,6,1,4,15
Willie Green,1448490,33,ORL,52,79,68,26,5,48,306
Wilson Chandler,6757913,27,DEN,78,475,134,58,29,110,1085
Xavier Henry,1082000,23,LAL,9,4,3,3,0,3,20
Zach LaVine,2055840,19,MIN,77,214,276,54,10,193,778
Zach Randolph,16500000,33,MEM,71,747,153,69,14,156,1143
Zaza Pachulia,5200000,30,MIL,73,500,178,80,21,133,606
Zoran Dragic,1962103,25,TOT,16,8,5,2,0,5,28
